,text,positive_prob,negative_prob
0,如果要了解互联网，这本是必读之书。,0.910355,0.0896452
1,最近在看这本书和李开复的《世界因你不同》，无意中发现这两本书竟颇为互补──李同学是以自己亲身在苹果，微软，google等的工作经验来谈，更为感性和detail。。而吴同学则更以一种理性的旁观者态度来分析这些IT公司的朝代更替原因。恰恰，李博士几乎在每个IT公司势旺时进入，在势弱时退出。恰好吻合了吴同学的兴衰时间表。。没看过这两本书的同学推荐一起看。,0.999883,0.000116908
2,写得很差，完全不建议阅读。,0.000325521,0.999674
3,恒阅这本书给人最大的启发就是：一个企业能不能活可能是靠自己，但是死不死真的是靠命啊……什么企业基因论，不就是宿命吗？另外，作为一本介绍行业历史的书，如果一定要总结出一些规律，就 必须做更深入严谨的研究，否则就可能出现本书的问题：同样的逻辑用在不同的企业案例上会出现矛盾……,0.0649725,0.935028
4,普及性介绍没有什么洞见9.1分有过誉之嫌,0.0380954,0.961905
5,一本故事会，想不明白这本书在豆瓣上为什么得分这么高。先不说书中的观点是否值得 都有啊。,0.0107668,0.989233
6,细致、全面，绝佳的入门书，只是这个领域的判断众说纷纭，就像张小龙的“我所说的都是错的”，即使再言之凿凿也未必准确。不知道新入门者从此对互联网的认识，有多少已经潜移默化打上了吴军的印记，未必是好事。,0.857043,0.142957
7,一般一般，中国人特有的成功学气味太重。没有挣大钱或者很有社会影响就不重要吗？未必。。。,0.000463781,0.999536
8,语气太随意，不是一本严肃作品。,0.00043332,0.999567
9,很棒的了解IT领域的入门读物，全面且逻辑清晰。以IT界的科技变革为基础，到产业组织以及与资本的博弈，深刻而全面。,0.999969,3.05511e-05
10,几个定律加公司兴衰，读出了三体的感觉，很爽。,0.999342,0.000657683
11,有些章不错，但不算是出色的企业历史书，比如突兀的人称切换，比如洋洋洒洒的叙述。PS站在下一个浪潮巅峰的朋友们加油哦，五年十年后不要忘了给我亲友股~,0.849313,0.150687
12, 二道贩子，从这里那里摘抄一些八卦轶事，加些武断的评论，拼凑而成。主要是归因太肤浅,0.0123773,0.987623
13,"「开始］2011.10.14，目前看了几个公司的故事，感觉有点不够详细、扎实。「读完」2011.10.20,这是在kindle上看的第二本书，已经逐渐习惯EINK，并开始享受科技与传统的融合。开始以为这只是又一本讲述硅谷、讲述那些高科技行业明星的揽财书，但随着阅读的深入发现自己错了，也庆幸自己错了。强烈推荐那些非IT人士也看一看这本书。就像一位德国诗人所说的：“亘古而常青的昨天永远是过去，也永远会再来。”历史总是会与你我一次次的开玩笑，用它螺旋上升中惊人的相似性。",0.999897,0.000102731
14,还可以，但9分也太高了吧，好像没这么好啊,0.458554,0.541446
15,厌恶华尔街，喜欢斯坦福,0.992843,0.00715686
16,真真切切让人感受到，企业基因对于一个企业长期发展的重要性。因为读过《乔布斯传》，所以对于苹果公司的描述，哎，作者太马虎了啊，很多漏洞。,0.0431191,0.956881
17,除了华尔街的部分还比较有趣，其他的都比较枯燥。,0.0768511,0.923149
18,在吴晓波的书中，我们能看到对中国短暂的现代商业史中消逝公司的惋惜，实际上我们也常假设：某某公司若还存在会如何。但世间没有如果，这本书给了一个很独特的视角：“一个公司的死亡是对社会最后的一次贡献”。既然一个公司无法再适应，那能通过自身的消逝为后来者提供警示和腾出市场资源，伤害的是自己，但有利于整个社会。这个自由主义十足的观点，也适用于我们这个正在极度变化和充满竞争中社会的每个个体。,0.912626,0.087374
